# time / ns	pulse height / V	pulse height error / V
# LL-504BC2E-B4-2CC LED luminosity with linear interpolation
# fwhm 73 ns
pdf: tabular
	x / ns	pdf
	6.295762666666666973e+01	 8.709655954157597080e+00	
	6.335762666666662568e+01	 8.679760731797692586e+00	
	6.375762666666667400e+01	 8.637635675626015086e+00	
	6.415762666666667258e+01	 8.617252548778793653e+00	
	6.455762666666667826e+01	 8.592792846332798717e+00	
	6.495762666666666973e+01	 8.554744386143795509e+00	
	6.535762666666661858e+01	 8.558820999962364340e+00	
	6.575762666666668110e+01	 8.576486342646759908e+00	
	6.615762666666665837e+01	 8.662095366181418399e+00	
	6.655762666666670668e+01	 8.723244668584825945e+00	
	6.695762666666666973e+01	 8.755857649627706962e+00	
	6.735762666666661858e+01	 8.865926430814724313e+00	
	6.775762666666668110e+01	 9.004531630185795166e+00	
	6.815762666666664416e+01	 9.107806137393460233e+00	
	6.855762666666670668e+01	 9.124112634284870182e+00	
	6.895762666666666973e+01	 9.088781886065731896e+00	
	6.935762666666661858e+01	 8.935229028801614959e+00	
	6.975762666666668110e+01	 8.777599645199799738e+00	
	7.015762666666664416e+01	 8.624046931472285848e+00	
	7.055762666666669247e+01	 8.296558273551866591e+00	
	7.095762666666666973e+01	 7.659246130529609786e+00	
	7.135762666666661858e+01	 6.633296625111171352e+00	
	7.175762666666668110e+01	 5.316546297673312438e+00	
	7.215762666666665837e+01	 3.661437545631452295e+00	
	7.255762666666670668e+01	 1.898977168911215596e+00	
	7.295762666666666973e+01	 4.644132023592074110e-01	
	7.335762666666663279e+01	 0.000000000000000000e+00	
	7.375762666666668110e+01	 0.000000000000000000e+00	
	7.415762666666664416e+01	 0.000000000000000000e+00	
	7.455762666666667826e+01	 0.000000000000000000e+00	
	7.495762666666666973e+01	 0.000000000000000000e+00	
	7.535762666666663279e+01	 0.000000000000000000e+00	
	7.575762666666668110e+01	 0.000000000000000000e+00	
	7.615762666666665837e+01	 0.000000000000000000e+00	
	7.655762666666669247e+01	 0.000000000000000000e+00	
	7.695762666666665552e+01	 0.000000000000000000e+00	
	7.735762666666661858e+01	 0.000000000000000000e+00	
	7.775762666666668110e+01	 0.000000000000000000e+00	
	7.815762666666665837e+01	 0.000000000000000000e+00	
	7.855762666666669247e+01	 0.000000000000000000e+00	
	7.895762666666666973e+01	 0.000000000000000000e+00	
	7.935762666666664700e+01	 0.000000000000000000e+00	
	7.975762666666669531e+01	 0.000000000000000000e+00	
	8.015762666666665837e+01	 0.000000000000000000e+00	
	8.055762666666667826e+01	 0.000000000000000000e+00	
	8.095762666666666973e+01	 0.000000000000000000e+00	
	8.135762666666661858e+01	 0.000000000000000000e+00	
	8.175762666666669531e+01	 0.000000000000000000e+00	
	8.215762666666667258e+01	 0.000000000000000000e+00	
	8.255762666666667826e+01	 0.000000000000000000e+00	
	8.295762666666669816e+01	 0.000000000000000000e+00	
	8.335762666666661858e+01	 0.000000000000000000e+00	
	8.375762666666668110e+01	 0.000000000000000000e+00	
	8.415762666666667258e+01	 0.000000000000000000e+00	
	8.455762666666666405e+01	 0.000000000000000000e+00	
	8.495762666666671237e+01	 0.000000000000000000e+00	
	8.535762666666666121e+01	 0.000000000000000000e+00	
	8.575762666666668110e+01	 0.000000000000000000e+00	
	8.615762666666665837e+01	 0.000000000000000000e+00	
	8.655762666666666405e+01	 0.000000000000000000e+00	
	8.695762666666671237e+01	 0.000000000000000000e+00	
	8.735762666666666121e+01	 0.000000000000000000e+00	
	8.775762666666668110e+01	 0.000000000000000000e+00	
