# time / ns	pulse height / V	pulse height error / V
# LL-504BC2E-B4-2CC LED luminosity with linear interpolation
# fwhm 35 ns 
pdf: tabular
	x / ns	pdf
	-1.274885877192981809e+01	 0.000000000000000000e+00	
	-1.234885877192982839e+01	 0.000000000000000000e+00	
	-1.194885877192982626e+01	 0.000000000000000000e+00	
	-1.154885877192983834e+01	 0.000000000000000000e+00	
	-1.114885877192982555e+01	 0.000000000000000000e+00	
	-1.074885877192981809e+01	 0.000000000000000000e+00	
	-1.034885877192982484e+01	 0.000000000000000000e+00	
	-9.948860701754389524e+00	 0.000000000000000000e+00	
	-9.548860701754387392e+00	 0.000000000000000000e+00	
	-9.148860701754385261e+00	 0.000000000000000000e+00	
	-8.748860701754384905e+00	 0.000000000000000000e+00	
	-8.348860701754384550e+00	 0.000000000000000000e+00	
	-7.948860701754385971e+00	 0.000000000000000000e+00	
	-7.548860701754384728e+00	 0.000000000000000000e+00	
	-7.148860701754387925e+00	 0.000000000000000000e+00	
	-6.748860701754388458e+00	 0.000000000000000000e+00	
	-6.348860701754386326e+00	 0.000000000000000000e+00	
	-5.948860701754383307e+00	 0.000000000000000000e+00	
	-5.548860701754384728e+00	 0.000000000000000000e+00	
	-5.148860701754386149e+00	 0.000000000000000000e+00	
	-4.748860701754387570e+00	 0.000000000000000000e+00	
	-4.348860701754386326e+00	 0.000000000000000000e+00	
	-3.948860701754385971e+00	 0.000000000000000000e+00	
	-3.548860701754386948e+00	 0.000000000000000000e+00	
	-3.148860701754385261e+00	 0.000000000000000000e+00	
	-2.748860701754385794e+00	 0.000000000000000000e+00	
	-2.348860701754386771e+00	 0.000000000000000000e+00	
	-1.948860701754385749e+00	 0.000000000000000000e+00	
	-1.548860701754385394e+00	 0.000000000000000000e+00	
	-1.148860701754385705e+00	 0.000000000000000000e+00	
	-7.488603245614033899e-01	 0.000000000000000000e+00	
	-3.488603245614036452e-01	 8.876190517485675890e-01	
	5.113961080701751732e-02 4.791531951657749033e+00	
	4.511396754385965657e-01	 8.629437024651075205e+00	
	8.511396754385959218e-01	 1.185904664059764002e+01	
	1.251139298245614428e+00	 1.425083912199755787e+01	
	1.651139298245613451e+00	 1.583742389218487290e+01	
	2.051139298245614029e+00	 1.636419603273417067e+01	
	2.451139298245614828e+00	 1.607948748842764530e+01	
	2.851139298245614295e+00	 1.513506171751292584e+01	
	3.251139298245613762e+00	 1.383569363064215452e+01	
	3.651139298245613674e+00	 1.228798920906002934e+01	
	4.051139298245614917e+00	 1.061486302096681555e+01	
	4.451139298245614384e+00	 9.215156521394355593e+00	
	4.851139298245613851e+00	 8.156597046431436127e+00	
	5.251139298245611542e+00	 7.495624434907384170e+00	
	5.651139298245613674e+00	 7.182068599741775472e+00	
	6.051139298245615805e+00	 7.085494312229521086e+00	
	6.451139298245617049e+00	 7.297457026296953586e+00	
	6.851139298245612075e+00	 7.748977016282069030e+00	
	7.251139298245612430e+00	 8.522828612483067445e+00	
	7.651139298245613674e+00	 9.340578323181674136e+00	
	8.051139298245612252e+00	 9.911246847342312094e+00	
	8.451139298245612608e+00	 1.021602204020408777e+01	
	8.851139298245612963e+00	 1.022229336762401175e+01	
	9.251139298245616871e+00	 1.020849707443293397e+01	
	9.651139298245619003e+00	 1.018215859675159152e+01	
	1.005114122807017729e+01	 9.873620011661763840e+00	
	1.045114122807016699e+01	 9.410814446578960712e+00	
	1.085114122807017445e+01	 8.815061068193877247e+00	
	1.125114122807018191e+01	 8.421237029427913967e+00	
	1.165114122807017516e+01	 8.317136983605500689e+00	
	1.205114122807017374e+01	 8.387373179123059685e+00	
	1.245114122807016166e+01	 8.394898478058472335e+00	
	1.285114122807017445e+01	 8.363543048189448825e+00	
	1.325114122807018191e+01	 8.407440652357841770e+00	
	1.365114122807017516e+01	 8.604352679188011166e+00	
	1.405114122807017729e+01	 8.872755044728819485e+00	
	1.445114122807016344e+01	 9.109802197545306512e+00	
	1.485114122807017445e+01	 9.255291515682785075e+00	
	1.525114122807017836e+01	 9.323019280573625167e+00	
	1.565114122807017338e+01	 9.375696337845361938e+00	
	1.605114122807017552e+01	 9.424610833839949464e+00	
	1.645114122807016699e+01	 9.478541968455857614e+00	
	1.685114122807017623e+01	 9.463491448976604659e+00	
	1.725114122807017480e+01	 9.369425284796044195e+00	
	1.765114122807016983e+01	 9.290409603250679993e+00	
	1.805114122807017907e+01	 9.247766194013813390e+00	
	1.845114122807017054e+01	 9.177529982034030809e+00	
	1.885114122807017267e+01	 9.042074413056582216e+00	
	1.925114122807017480e+01	 8.931703270285552776e+00	
	1.965114122807017338e+01	 8.850179127540741320e+00	
	2.005114122807017196e+01	 8.772417696584973612e+00	
	2.045114122807017054e+01	 8.703435747737415795e+00	
	2.085114122807017267e+01	 8.593064714714600427e+00	
	2.125114122807018546e+01	 8.507778008340871168e+00	
	2.165114122807017694e+01	 8.521574355622142605e+00	
	2.205114122807016841e+01	 8.594318966872016574e+00	
	2.245114122807018120e+01	 8.645741816669563207e+00	
	2.285114122807017623e+01	 8.746079115426724115e+00	
	2.325114122807017836e+01	 8.838891180313474649e+00	
	2.365114122807017694e+01	 9.032040692117512037e+00	
	2.405114122807016841e+01	 9.245257768090574757e+00	
	2.445114122807018120e+01	 9.368171050668685496e+00	
	2.485114122807017267e+01	 9.350612070773905771e+00	
	2.525114122807018546e+01	 9.339324114923563513e+00	
	2.565114122807017338e+01	 9.374442189948780424e+00	
	2.605114122807016486e+01	 9.410814344669901743e+00	
	2.645114122807018120e+01	 9.428373449991227062e+00	
	2.685114122807017623e+01	 9.360645739974529533e+00	
	2.725114122807018902e+01	 9.256545744322728808e+00	
	2.765114122807017338e+01	 9.164987804598993648e+00	
	2.805114122807016841e+01	 9.137395004207817806e+00	
	2.845114122807018120e+01	 9.198851700370980211e+00	
	2.885114122807017978e+01	 9.159970933938552662e+00	
	2.925114122807018546e+01	 9.039565993404679034e+00	
	2.965114122807017338e+01	 8.973092450882447224e+00	
	3.005114122807016130e+01	 9.006956309026477925e+00	
	3.045114122807017409e+01	 8.963058707993745600e+00	
	3.085114122807018333e+01	 8.899093618047899668e+00	
	3.125114122807018546e+01	 8.793739356128227769e+00	
	3.165114122807018049e+01	 8.667063491107228401e+00	
	3.205114122807015775e+01	 8.419982815682388377e+00	
	3.245114122807017765e+01	 7.963447822324546621e+00	
	3.285114122807018333e+01	 7.163256106922297306e+00	
	3.325114122807019612e+01	 5.812464703040078007e+00	
	3.365114122807018759e+01	 4.234659869632217521e+00	
	3.405114122807014354e+01	 2.357096481983875336e+00	
	3.445114122807017765e+01	 7.191823329222639671e-01	
	3.485114122807018333e+01	 0.000000000000000000e+00	
	3.525114122807019612e+01	 0.000000000000000000e+00	
	3.565114122807018759e+01	 0.000000000000000000e+00	
	3.605114122807015065e+01	 0.000000000000000000e+00	
	3.645114122807016344e+01	 0.000000000000000000e+00	
	3.685114122807018333e+01	 0.000000000000000000e+00	
	3.725114122807019612e+01	 0.000000000000000000e+00	
	3.765114122807018049e+01	 0.000000000000000000e+00	
	3.805114122807017196e+01	 0.000000000000000000e+00	
	3.845114122807016344e+01	 0.000000000000000000e+00	
	3.885114122807017623e+01	 0.000000000000000000e+00	
	3.925114122807018902e+01	 0.000000000000000000e+00	
	3.965114122807018759e+01	 0.000000000000000000e+00	
	4.005114122807017196e+01	 0.000000000000000000e+00	
	4.045114122807015633e+01	 0.000000000000000000e+00	
	4.085114122807017623e+01	 0.000000000000000000e+00	
	4.125114122807017480e+01	 0.000000000000000000e+00	
	4.165114122807018049e+01	 0.000000000000000000e+00	
	4.205114122807018617e+01	 0.000000000000000000e+00	
	4.245114122807017765e+01	 0.000000000000000000e+00	
	4.285114122807018333e+01	 0.000000000000000000e+00	
	4.325114122807016770e+01	 0.000000000000000000e+00	
	4.365114122807018759e+01	 0.000000000000000000e+00	
	4.405114122807018617e+01	 0.000000000000000000e+00	
	4.445114122807017054e+01	 0.000000000000000000e+00	
	4.485114122807017623e+01	 0.000000000000000000e+00	
	4.525114122807016770e+01	 0.000000000000000000e+00	
	4.565114122807018759e+01	 0.000000000000000000e+00	
	4.605114122807017907e+01	 0.000000000000000000e+00	
	4.645114122807017054e+01	 0.000000000000000000e+00	
	4.685114122807018333e+01	 0.000000000000000000e+00	
	4.725114122807018902e+01	 0.000000000000000000e+00	
	4.765114122807018759e+01	 0.000000000000000000e+00	
	4.805114122807017907e+01	 0.000000000000000000e+00	
	4.845114122807017054e+01	 0.000000000000000000e+00	
	4.885114122807016912e+01	 0.000000000000000000e+00	
	4.925114122807018902e+01	 0.000000000000000000e+00	
	4.965114122807018049e+01	 0.000000000000000000e+00	
	5.005114122807018617e+01	 0.000000000000000000e+00	
	5.045114122807017765e+01	 0.000000000000000000e+00	
	5.085114122807016912e+01	 0.000000000000000000e+00	
	5.125114122807017480e+01	 0.000000000000000000e+00	
	5.165114122807018049e+01	 0.000000000000000000e+00	
	5.205114122807017907e+01	 0.000000000000000000e+00	
	5.245114122807017765e+01	 0.000000000000000000e+00	
	5.285114122807016201e+01	 0.000000000000000000e+00	
	5.325114122807017480e+01	 0.000000000000000000e+00	
	5.365114122807018049e+01	 0.000000000000000000e+00	
	5.405114122807017907e+01	 0.000000000000000000e+00	
	5.445114122807017054e+01	 0.000000000000000000e+00	
	5.485114122807016201e+01	 0.000000000000000000e+00	
	5.525114122807017480e+01	 0.000000000000000000e+00	
	5.565114122807018759e+01	 0.000000000000000000e+00	
	5.605114122807017907e+01	 0.000000000000000000e+00	
	5.645114122807017054e+01	 0.000000000000000000e+00	
	5.685114122807016201e+01	 0.000000000000000000e+00	
	5.725114122807018902e+01	 0.000000000000000000e+00	
	5.765114122807018049e+01	 0.000000000000000000e+00	
	5.805114122807019328e+01	 0.000000000000000000e+00	
	5.845114122807017765e+01	 0.000000000000000000e+00	
	5.885114122807016201e+01	 0.000000000000000000e+00	
	5.925114122807018902e+01	 0.000000000000000000e+00	
	5.965114122807018049e+01	 0.000000000000000000e+00	
	6.005114122807017907e+01	 0.000000000000000000e+00	
	6.045114122807017054e+01	 0.000000000000000000e+00	
	6.085114122807016201e+01	 0.000000000000000000e+00	
	6.125114122807018902e+01	 0.000000000000000000e+00	
	6.165114122807017338e+01	 0.000000000000000000e+00	
	6.205114122807019328e+01	 0.000000000000000000e+00	
	6.245114122807017054e+01	 0.000000000000000000e+00	
	6.285114122807014780e+01	 0.000000000000000000e+00	
	6.325114122807018902e+01	 0.000000000000000000e+00	
	6.365114122807017338e+01	 0.000000000000000000e+00	
	6.405114122807017907e+01	 0.000000000000000000e+00	
	6.445114122807017054e+01	 0.000000000000000000e+00	
	6.485114122807014780e+01	 0.000000000000000000e+00	
	6.525114122807018191e+01	 0.000000000000000000e+00	
	6.565114122807017338e+01	 0.000000000000000000e+00	
	6.605114122807020749e+01	 0.000000000000000000e+00	
	6.645114122807017054e+01	 0.000000000000000000e+00	
	6.685114122807014780e+01	 0.000000000000000000e+00	
	6.725114122807016770e+01	 0.000000000000000000e+00	
	6.765114122807017338e+01	 0.000000000000000000e+00	
	6.805114122807019328e+01	 0.000000000000000000e+00	
	6.845114122807018475e+01	 0.000000000000000000e+00	
	6.885114122807014780e+01	 0.000000000000000000e+00	
	6.925114122807016770e+01	 0.000000000000000000e+00	
	6.965114122807018759e+01	 0.000000000000000000e+00	
	7.005114122807017907e+01	 0.000000000000000000e+00	
	7.045114122807017054e+01	 0.000000000000000000e+00	
	7.085114122807014780e+01	 0.000000000000000000e+00	
	7.125114122807018191e+01	 0.000000000000000000e+00	
	7.165114122807018759e+01	 0.000000000000000000e+00	
	7.205114122807020749e+01	 0.000000000000000000e+00	
	7.245114122807017054e+01	 0.000000000000000000e+00	
	7.285114122807014780e+01	 0.000000000000000000e+00	
	7.325114122807018191e+01	 0.000000000000000000e+00	
	7.365114122807018759e+01	 0.000000000000000000e+00	
	7.405114122807017907e+01	 0.000000000000000000e+00	
	7.445114122807018475e+01	 0.000000000000000000e+00	
	7.485114122807014780e+01	 0.000000000000000000e+00	
	7.525114122807019612e+01	 0.000000000000000000e+00	
	7.565114122807018759e+01	 0.000000000000000000e+00	
	7.605114122807015065e+01	 0.000000000000000000e+00	
	7.645114122807017054e+01	 0.000000000000000000e+00	
	7.685114122807016201e+01	 0.000000000000000000e+00	
	7.725114122807019612e+01	 0.000000000000000000e+00	
	7.765114122807015917e+01	 0.000000000000000000e+00	
	7.805114122807016486e+01	 0.000000000000000000e+00	
	7.845114122807018475e+01	 0.000000000000000000e+00	
	7.885114122807016201e+01	 0.000000000000000000e+00	
	7.925114122807019612e+01	 0.000000000000000000e+00	
	7.965114122807013075e+01	 0.000000000000000000e+00	
	8.005114122807015065e+01	 0.000000000000000000e+00	
	8.045114122807019896e+01	 0.000000000000000000e+00	
	8.085114122807017623e+01	 0.000000000000000000e+00	
	8.125114122807019612e+01	 0.000000000000000000e+00	
	8.165114122807013075e+01	 0.000000000000000000e+00	
	8.205114122807015065e+01	 0.000000000000000000e+00	
	8.245114122807019896e+01	 0.000000000000000000e+00	
	8.285114122807017623e+01	 0.000000000000000000e+00	
	8.325114122807019612e+01	 0.000000000000000000e+00	
	8.365114122807013075e+01	 0.000000000000000000e+00	
	8.405114122807017907e+01	 0.000000000000000000e+00	
	8.445114122807019896e+01	 0.000000000000000000e+00	
	8.485114122807017623e+01	 0.000000000000000000e+00	
	8.525114122807018191e+01	 0.000000000000000000e+00	
	8.565114122807014496e+01	 0.000000000000000000e+00	
	8.605114122807016486e+01	 0.000000000000000000e+00	
