# time / ns	pulse height / V	pulse height error / V
# LL-504BC2E-B4-2CC LED luminosity with linear interpolation
# fwhm 12 ns 
pdf: tabular
	x / ns	pdf
	7.894591727272731418e+01	 0.000000000000000000e+00	
	7.934591727272726303e+01	 0.000000000000000000e+00	
	7.974591727272729713e+01	 0.000000000000000000e+00	
	8.014591727272726018e+01	 0.000000000000000000e+00	
	8.054591727272725166e+01	 0.000000000000000000e+00	
	8.094591727272728576e+01	 0.000000000000000000e+00	
	8.134591727272723460e+01	 0.000000000000000000e+00	
	8.174591727272725450e+01	 0.000000000000000000e+00	
	8.214591727272727439e+01	 0.000000000000000000e+00	
	8.254591727272729429e+01	 0.000000000000000000e+00	
	8.294591727272728576e+01	 0.000000000000000000e+00	
	8.334591727272723460e+01	 0.000000000000000000e+00	
	8.374591727272725450e+01	 0.000000000000000000e+00	
	8.414591727272726018e+01	 0.000000000000000000e+00	
	8.454591727272729429e+01	 0.000000000000000000e+00	
	8.494591727272731418e+01	 0.000000000000000000e+00	
	8.534591727272726303e+01	 0.000000000000000000e+00	
	8.574591727272726871e+01	 0.000000000000000000e+00	
	8.614591727272724597e+01	 0.000000000000000000e+00	
	8.654591727272725166e+01	 0.000000000000000000e+00	
	8.694591727272731418e+01	 0.000000000000000000e+00	
	8.734591727272726303e+01	 0.000000000000000000e+00	
	8.774591727272726871e+01	 0.000000000000000000e+00	
